City,Country,city_match,city_geocode,country_geocode,latitude,longitude,Specialization,Curator_lastname_firstname,Curator_nationality_or_residence,Regularity,Local_or_international,First_edition_year,Last_Edition_year,City,Country,Region
Palermo,Italy,TRUE,Palermo,Italy,38.11569,13.3614868,Contemporary art,"Pestellini Laparelli Ippolito, van der Haak Bregtje, Jaque Andrés, Varadinis Mirjam","Italy, Netherlands, Spain, Switzerland",Biennial,International,1995,2018,Palermo,Italy,Western Europe
Shanghai,China,TRUE,Shanghai,China,31.230416,121.473701,Contemporary art,Medina Cuauhtémoc,Mexico,Biennial,International,1996,2018,Shanghai,China,Asia
Alberta,Canada,TRUE,Alberta,Canada,53.9332706,-116.5765035,Contemporary art,"Trinier Kristy, Rake Peta",Canada,Biennial,International,1996,2017,Alberta,Canada,North America
Kaunas,Lithuania,TRUE,Kaunas,Lithuania,54.8985207,23.9035965,Contemporary art,"Pukytė Paulina, Kreivytė Laima, Edelman Udi","Lithuania, Lithuania, Israel",Biennial,International,1997,2017,Kaunas,Lithuania,Eastern Europe
Porto Alegre,Brazil,TRUE,Porto Alegre,Brazil,-30.0368176,-51.2089887,Contemporary art,Hug Alfons,Germany,Biennial,International,1997,2018,Porto Alegre,Brazil,Latin America
Liège,Belgium,TRUE,Liège,Belgium,50.6329586,5.5697498,"Contemporary art, Photography",Lesuisse Anne-Françoise,Belgium,Biennial,International,1997,2018,Liège,Belgium,Western Europe
Cologne,Germany,TRUE,Cologne,Germany,50.937531,6.9602786,Sculpture,Martínez Chus,Spain,Biennial,International,1997,2017,Cologne,Germany,Western Europe
Hessen,Germany,TRUE,Hessen,Germany,50.6520515,9.1624376,Sculpture,"Scheffel Christian, Schneider Maria","Germany, Germany",Biennial,International,1997,2017,Hessen,Germany,Western Europe
Florence,Italy,TRUE,Florence,Italy,43.7695604,11.2558136,Contemporary art,Zefferino Melanie,Italy,Biennial,International,1997,2017,Florence,Italy,Western Europe
Vladivostok,Russia,TRUE,Vladivostok,Russia,43.1332484,131.9112975,Contemporary art,Liping Xiang,China,Biennial,International,1998,2017,Vladivostok,Russia,Asia
Busan,South Korea,TRUE,Busan,South Korea,35.1795543,129.0756416,Contemporary art,"Ricupero Cristina, Heiser Jörg, Park Gahee","France, Germany, South Korea",Biennial,International,1998,2018,Busan,South Korea,Asia
San José,Costa Rica,TRUE,San José,Costa Rica,37.3382082,-121.8863286,Contemporary art,Díaz Bringas Tamara,Cuba,Biennial,International,1998,2016,San José,Costa Rica,Latin America
Berlin,Germany,TRUE,Berlin,Germany,52.5200066,13.404954,Contemporary art,Ngcobo Gabi,South Africa,Biennial,International,1998,2018,Berlin,Germany,Western Europe
La Paz,Bolivia,TRUE,La Paz,Bolivia,-16.489689,-68.1192936,Contemporary art,Sánchez Joaquín,Bolivia,Biennial,International,1999,2018,La Paz,Bolivia,Latin America
Quebec,Canada,TRUE,Quebec,Canada,46.8138783,-71.2079809,Graphic art,n/a,n/a,Biennial,International,1999,2017,Quebec,Canada,North America
Louisville,USA,TRUE,Louisville,USA,38.2526647,-85.7584557,Photography,n/a,n/a,Biennial,Local,1999,2017,Louisville,USA,North America
Dhaka,Bangladesh,TRUE,Dhaka,Bangladesh,23.810332,90.4125181,Photography,n/a,n/a,Biennial,International,2000,2017,Dhaka,Bangladesh,Asia
